	etytr	indicator	alp	er-cv	leukocyty	hbver	alt	trombocyty	ast	weight	ssn	relationship	hematokrit	smoker	hemoglobin	erytrocyty	name
61	7.01911	1.00000	12.51880	36.22200	5.70105	3.78287	7.29173	5.61749	91.02698	32.07881	079-37-4931	nop	7.87613	no	8.93766	6.27320	Cynthia Larson
62	5.88543	1.00000	89.61900	52.89164	8.42585	4.20496	12.19375	7.37351	80.88165	64.46757	676-12-2513	divoced	4.77035	yes	6.44350	6.69037	Jose Chavez
63	5.65794	0.00000	90.81296	69.30317	6.22310	4.76314	5.85208	6.26945	72.29838	125.24811	696-65-9856	married	4.34589	no	6.00263	5.30981	Suzanne Rogers
64	6.21970	1.00000	78.06563	38.29139	4.95157	6.39584	26.27180	5.52673	77.40475	18.26453	375-27-3631	nop	6.19372	yes	6.81020	8.45245	Abigail Galloway
65	7.32291	0.00000	79.79253	45.96299	5.14959	4.14093	13.66694	6.09780	77.87518	72.08477	286-65-8046	married	5.26839	Y	5.36288	7.29975	Hayley Johnson
66	7.40217	1.00000	15.34635	52.40322	4.49002	9.83963	13.33373	3.73180	64.56452	-20.43153	191-13-3353	divoced	6.58267	no	3.17575	7.52013	Casey Harris
67	7.12224	1.00000	75.76572	52.81713	6.86805	4.79531	10.74543	6.92118	74.02979	125.56738	411-55-1944	married	6.12402	no	7.21072	7.16899	Chloe Chaney
68	6.75220	1.00000	43.37042	47.67830	4.02978	7.43916	10.29205	6.03661	72.57670	30.69167	552-51-3394	separated	6.14136	no	4.61421	5.98605	Dr. Todd Daniel
69	5.24783	1.00000	86.44931	54.42630	6.61829	5.38604	9.03576	7.39745	88.29252	54.63234	660-80-4979	married	4.30373	Y	6.32053	5.89173	Amanda Webb
70	6.65551	0.00000	25.26792	58.43907	4.45208	7.32069	9.64582	6.83848	77.18423	60.29927	152-19-6024	married	4.56260	Y	4.06621	5.92671	David Olsen
71	6.41074	1.00000	80.43679	38.97094	5.10517	7.83919	8.52340	5.08648	77.62222	50.25166	411-98-3423	married	4.66998	no	5.55030	5.97896	Franklin Figueroa
72	6.47082	1.00000	55.87282	44.68840	3.55229	5.93980	7.27878	8.63655	80.09199	47.64937	130-31-8915	divoced	3.67941	Y	4.93952	3.78221	Jacob Massey
73	7.50114	1.00000	84.30370	68.70951	8.14907	4.55030	5.47314	7.74701	69.55044	86.10577	850-58-4942	divoced	5.38607	yes	5.77080	4.56409	David Phillips
74	5.24555	1.00000	54.55914	39.87090	5.86651	7.63929	9.62002	5.70800	66.43593	86.26317	213-46-7676	divoced	5.38032	no	4.68615	5.42862	Steve Maldonado
75	6.05104	1.00000	46.36385	37.79222	7.42450	5.24668	5.86411	6.65939	68.09809	103.51748	779-61-1579	married	5.18858	no	7.88864	6.27912	Cathy Dean
76	4.05741	1.00000	88.93913	51.02614	6.44620	6.94089	11.92113	5.76721	70.52973	67.78691	664-62-4381	separated	4.93161	no	5.79476	5.58290	Joseph Tran
77	6.34298	1.00000	30.01516	64.64441	4.97200	5.17337	8.71820	5.86142	73.04736	27.58868	660-80-4979	single	5.05820	Y	8.70521	4.80789	Amanda Webb
78	4.82642	1.00000	89.32364	70.94461	5.93274	3.20827	1.72155	6.64136	79.57379	44.01765	567-74-2042	nop	6.59799	no	6.38239	4.61519	Jennifer Thomas
79	6.18370	0.00000	35.20978	50.78980	7.66176	2.43762	5.93359	8.27142	67.07937	89.93793	834-95-1628	separated	5.19335	no	4.38189	5.95418	Betty Murphy
80	4.53180	1.00000	86.90669	50.18399	10.18256	8.04026	3.37758	8.28038	70.18155	47.40320	194-10-9380	single	4.93661	no	6.78719	6.04236	Douglas Gibbs
81	4.77314	1.00000	28.36950	42.78339	6.66275	5.50073	10.13403	6.32508	67.09174	26.86894	477-42-9117	married	6.48775	no	8.32369	6.40544	Russell Blair
82	4.97241	0.00000	53.63819	47.79996	4.07322	5.96034	8.78718	6.30359	78.82718	15.39741	772-03-8160	single	6.05691	no	7.88843	5.60887	Jonathan Stewart
83	4.56635	1.00000	93.17502	20.84063	3.31474	7.09502	5.10810	5.77910	66.42191	25.18313	076-79-7984	nop	6.48735	no	6.55920	5.59180	Robert Flores
84		1.00000	72.97158	40.64987	7.14212	6.02901	9.94711	7.47247	66.42493	86.01786	011-38-1168	married	4.39631	no	7.18545	4.14178	Meghan Garner
85	4.90823	0.00000	88.39012	54.25667	5.60066	5.78390	5.90150	6.02972	80.33689	126.08278	613-52-7074	married	5.75171	no	6.69950	6.08883	Ronald Prince DDS
86	4.78614	1.00000	20.71511	43.97639	5.10051	4.55693	10.04444	5.13502	72.53297	108.27968	029-92-2922	widowed	5.82617	yes	9.99561	6.36144	Lisa Hamilton
87	5.04564	0.00000	91.60906	45.74061	7.08137	4.33304	7.51715	7.45072	78.65023	73.20790	020-67-1592	single	6.02591	no	6.44906	5.67674	Christopher Jackson
88	5.91309	1.00000	77.25865	37.08427	5.16258	2.83068	9.39142	6.56138	74.72666	34.62378	192-27-5052	divoced	6.01802	Y	6.91999	4.08820	Matthew Smith
89	4.51914	1.00000	58.98213	24.87494	4.33778	7.53779	9.84597	5.83723	66.64595	58.46583	157-04-1120	single	4.59479	Y	5.09849	6.91563	Crystal Saunders
90	5.34045	1.00000	40.40671	46.48884	7.28803	4.42216	9.87716	6.31394	78.50381	118.25970	698-53-3266	widowed	6.10605	Y	8.20574	5.95379	Melissa Thompson
91	5.65527	1.00000	26.68224	39.57278	9.20080	7.77137	8.11023	6.96423	80.04394	60.00825	431-87-2016	married	6.69309	no	8.65763	5.91312	Ricky Stein
92	5.71224	1.00000	26.89369	58.38081	7.42512	4.91932	5.61706	6.46038	70.83953	44.17105	870-24-5618	single	7.46739	no	8.38207	3.56133	Lori Reyes
93	7.49617	1.00000	32.34066	54.97259	3.69301	8.14602	10.12659	5.98152	77.32108	39.45087	253-59-2612	single	4.97563	no	4.31295	6.73671	Timothy Lewis
94	4.01809	1.00000	32.26899	61.97734	5.68369	9.17297	13.87185	3.74418	72.40242	86.72634	409-43-1283	nop	5.83529	yes	4.09266		James Daniel
95	6.65207	1.00000	89.26672	53.05483	7.54886	5.30688	24.73595	7.72732	75.84047	68.51455	767-46-9030	divoced	6.14272	no	6.30827	8.08781	Mike Sutton
96	5.30147	1.00000	53.59269	62.98096	7.36236	6.25083	5.46501	7.17549	61.03144	51.63092	894-95-6061	married	6.33994	no	7.65428	4.46266	Taylor Archer
97	5.60036	0.00000	64.61233	33.16790	3.94050	5.30071	6.80756	6.10250	87.31076	48.89183	122-78-2153	divoced	5.20108	no	5.23402	6.51991	Kyle Fox
98	4.17819	0.00000	80.13364	78.67793	5.90747	7.61656	6.77549	3.31094	66.74976	59.04224	344-60-0641	married	6.14246	no	6.89448	4.98687	David Hancock
99	5.47191	1.00000	27.86111	41.09522	7.35916	6.12807	10.55752	6.68913	71.85522	76.06430	893-02-5733	single	5.47498	no	8.57599	6.53579	Rhonda James
100	4.53180	0.00000	80.59472	46.38078	4.54269	3.15752	9.16108	8.21862	80.87952	17.27142	816-29-9438	married	5.80597	no	6.41742	5.06906	Jennifer Steele
101	5.85977	0.00000	56.56352	62.73838	3.06613	7.72927	6.73987	4.65899	64.27499	51.06762	470-41-0741	widowed	6.08612	Y	7.88932	6.41034	Gregory Zamora
102	4.13402	1.00000	25.30487	52.25329	4.28912	6.04882	9.99983	8.73792	83.07308	101.33120	643-97-5195	divoced	4.85503	no	3.92555	5.57366	Michael Estrada
103	8.50980	1.00000	22.42507	77.66892	7.29717	4.13245	8.79417	8.43517	74.75888	101.19723	698-07-4663	separated	4.98266	Y	3.82438	6.35508	Amanda Farrell
104	4.98592	0.00000	83.05395	48.31636	5.06908	2.88092	7.38902	7.70657	73.45644	66.02203	510-02-9971	nop	6.21708	Y	6.77120	4.34174	Brian Young
105	5.15228	0.00000	87.90774	60.57186	6.10380	6.55853	7.13125	4.17946	68.30769	71.67134	742-93-3676	separated	6.90742	no	5.95044	4.34940	Karla Gonzalez
106	7.02033	1.00000	14.69255	47.25705	7.30409	4.26230	4.97153	8.81739	75.49990	111.01607	695-98-8671	married	5.69112	no	3.48512	4.36053	Jordan Brown
107	5.42226	0.00000	89.38365	37.00987	5.45134	6.23154	10.88353	5.08769	77.90533	68.96331	832-44-9568	married	6.04695	no	6.43231	6.88917	Hector Williams
108	6.54781	1.00000	82.02033	35.63609	3.48854	6.23082	8.77692	7.68251	66.29549	47.49067	011-47-7575	divoced	3.28441	yes	5.51608	5.79793	Kevin Madden
109	6.15334	0.00000	49.65822	56.62027	3.08019	3.18197	14.23655	6.86458	68.03426	26.83851	200-94-0881	separated	4.23415	Y	7.87917	7.52908	Denise Dillon
110	6.11210	1.00000	91.58602	17.75168	5.00032	2.96210	10.39483	6.80902	61.68851	121.97169	502-11-8766	single	5.44670	no	6.10596	6.65263	Kevin Delacruz
111	6.67135	1.00000	30.85850	60.22104	5.11895	7.48175	12.03476	6.90871	59.98126	88.55961	333-21-3236	single	6.28667	no	4.09493	7.32581	Lauren Norris
112	4.91004	1.00000	21.10421	55.92448	4.52568	1.92492	8.81380	7.72648	80.74284	48.73087	093-80-1903	married	7.55170	Y	3.47883	4.38582	Wendy Hopkins
113	5.88611	0.00000	88.93345	44.62134	4.97949	6.46794	7.78582	4.80365	78.26000	21.66173	504-57-2217	single	5.53689	no	6.33953	6.15123	Michael Jackson
114	6.20709	0.00000	40.39272	58.37748	4.73213	5.44044	7.77768	5.36177	68.71659	97.88268	215-60-8971	nop	5.36945	no	4.53688	4.98068	Meagan Graham
115	6.60805	0.00000	84.05364	26.80550	2.11815	5.97737	6.42390	6.76028	69.72449	48.69399	030-58-4697	married	4.64475	no	6.96573	3.85332	David Bowen MD
116	6.19799	0.00000	80.52900	54.98515	4.68105	2.78425	7.94794	7.93552	84.29631	71.48025	142-07-8797	nop	6.02779	no	6.87227	5.09161	Mrs. Amanda Smith DDS
117	4.65827	1.00000	15.37314	52.95559	5.56177	8.38421	9.45567	5.68135	66.70397	44.82428	799-89-8524	married	4.10095	no	3.04932	5.38092	Kelly Cole
118	4.08206	1.00000	73.24886	62.97474	7.43950	4.68938	5.73931	8.06826	90.22694	52.54069	581-10-1993	widowed	6.84936	no	5.46676	4.66958	David Wright
119	7.42554	1.00000	60.86397	47.51303	4.06326	6.42451	9.82315	7.84744	75.75105	41.16765	057-78-6129	married	4.30492	Y	4.99270	6.63787	Paul Williamson
120	7.56904	1.00000	17.63761	56.59406	5.05107	6.27045	5.49683	9.12472	61.23218	30.51800	868-04-7080	single	5.51216	no	2.51851	4.57669	Brian Holloway
121	6.57425	0.00000	18.40422	34.79058	4.35858	7.60288	12.77033	4.86024	61.26667	88.14418	552-60-4975	divoced	6.19717	yes	8.71665	6.89483	Melissa Williams
122	6.52735	1.00000	55.78949	45.62650	6.77712	4.68863	14.73060	6.54067	73.37015	99.35729	513-43-0198	nop	4.78241	yes	7.80334	6.84185	Robert Johnson
123	6.80445	1.00000	30.16329	86.33147	5.92828	5.93569	11.60130	8.49816	59.21820	82.91367	381-13-7573	divoced	5.33056	yes	4.21144	6.58221	Shawn Daniels
124	5.14318	0.00000	80.12452	41.39639		6.83925	8.44584	4.68128	67.34317	35.53901	305-18-3975	separated	5.57690	yes	7.07607	4.59136	Mary Carpenter
125	6.20519	0.00000	67.47865	59.18961	4.31424	4.38122	6.29997	6.52674	87.99435	36.31658	030-58-4697	widowed	6.46942	no	7.38950	5.97826	David Bowen MD
126	6.56990	1.00000	14.72761	80.35032	7.26439	7.55566	12.21508	6.68535	81.02799	63.63746	123-25-8223	married	6.54133	no	9.37025	7.10853	David May
127	5.68566	1.00000	87.48791	57.01673	7.05284	4.25354	11.88225	7.26389	78.89711	68.44977	816-08-1423	married	6.61094	no	6.22293	6.75699	Christy Lowery
128	7.07698	1.00000	84.90290	30.25256	5.92624	2.96909	7.53934	6.67963	88.12816	28.17339	449-54-3393	divoced	6.58457	no	6.83542	5.78538	Darryl Castro
129	4.67900	1.00000	41.80098	35.59339	5.46073	7.20291	10.63210	6.16568	72.42862	3.40963	284-92-8948	single	6.32067	no	4.38821	6.86336	Jeffrey Larson
130	5.47688	1.00000	51.21100	35.87935	7.98499	5.50023	4.98312	6.70283	70.99976	49.57063	800-94-8515	divoced	6.74262	no	7.94706	6.01211	Dennis Melendez
131	6.65838	1.00000	32.47612	59.16479	4.23081	6.11820	7.69872	8.69226	78.70468	51.51356	288-35-2563	married	7.23906	yes	4.11559	5.82311	Lisa Hubbard
132	4.82328	1.00000	84.11946	48.31300	4.72760	5.04725	13.07061	7.88754	65.33397	90.58380	082-89-5168	divoced	6.40160	no	5.80567	5.55354	Joan Mccormick
133	5.72976	1.00000	74.07200	34.47074	6.54062	6.37868	10.92418	6.49666	92.03000	140.30001	228-08-5657	married	6.53831	Y	5.39768	6.48232	Steve Schneider
134	5.47080	1.00000	9.01402	62.81802	4.84470	8.59332	6.84165	5.61976	69.27610	62.92076	628-21-0382	divoced	4.74241	yes	3.03215	5.73960	Abigail Garcia
135	6.30678	1.00000	79.95397	40.38895	3.51349	5.85535	8.72340	8.72567	62.45287	58.80076	719-18-3103	divoced	6.44863	Y	5.42628	6.24010	Paige Flowers
136	6.29371	0.00000	87.77940	26.85148	3.94837	6.50135	10.11340	5.01586	73.25711	38.13137	215-24-1172	divoced	6.24805	no	6.08681	5.22933	Barbara Harris
137	4.47639	0.00000	82.74555	25.42625	5.79264	6.84321	27.07058	3.84246	69.98385	36.21896	647-88-4297	divoced	5.67006	yes	5.78231	8.33554	Jeffrey Wilson
138	6.10515	1.00000	46.67344	43.56625	5.00670	7.82100	5.80099	5.93702	73.99157	36.83454	655-26-9717	separated	4.68306	no	4.46675	4.37261	Anthony Watson
139	6.50612	1.00000	92.00025	54.12717	7.37313	4.49252	8.11686	6.26027	83.74646	50.87725	898-13-6363	divoced	6.95056	Y	6.29095	6.04563	April Erickson
140	5.58762	1.00000	54.27607	33.94208	3.29013	6.62235	7.21135	7.71458	62.61393	53.54632	235-49-2676	single	6.99447	no	4.83295	5.87329	Samantha Davis
141	5.70308	1.00000	67.93660	54.86818	5.52417	6.36801	4.36160	7.26643	78.97017	43.98342	631-19-2183	separated	5.98168	Y	5.08559	5.20488	Tracy Simpson
142	5.67735	1.00000	21.15628	53.58462	4.37164	7.65847	6.08382	6.54627	73.71060	30.05726	808-13-2308	widowed	5.62024	no	3.58937	4.82824	Darren Carter
143	6.70880	0.00000	63.12296	58.85209	5.55275	7.46989	4.19597	3.95469	71.64812	69.03936	754-07-1551	married	6.45227	yes	7.52365	3.54626	Edward Martinez
144	4.22420	1.00000	42.16719	36.00868	7.47413	3.35934	11.22816	7.90898	64.55382	67.66491	162-42-5374	married	5.64428	N	4.52006	4.47552	Kristen Miller
145	4.43028	0.00000	59.30973	62.61641	4.94526	6.00110	8.61325	5.85375	73.54245	53.01184	855-76-0936	divoced	7.23555	Y	7.68312	5.98153	Ricky Roth
146	7.25233	1.00000	91.28418	57.74409	6.50616	2.43373	7.39672	7.28923	76.66726	32.46579	710-27-4832	married	5.67339	yes	5.85304	6.38334	Denise Frederick
147	6.44808	1.00000	78.13938	69.86818	4.19890	6.36629	7.36682	7.60396	63.25747	112.96257	445-91-7915	widowed	6.24939	yes	5.37870	6.30852	Ryan Carson
148	5.01426	1.00000	68.15755	49.36497	5.05151	5.79850	14.14182	8.18461	67.20245	89.39127	396-53-2544	nop	5.60325	Y	5.01841	6.81335	Steven Torres
149	7.17702	1.00000	79.63014	62.27458	7.24849	3.19287	4.61169	7.45944	70.04775	96.96504	441-98-0869	widowed	6.07291	no	5.56019	5.54756	Tonya White
150	6.93977	1.00000	61.47341	49.10550	3.97259	7.92386	13.40594	5.77638	67.12816	125.92709	050-06-2113	nop	5.89309	yes	4.95128	7.19251	Keith Sandoval
151	6.29199	1.00000	90.43625	55.95732	7.18994	3.82266	11.28787	7.34235	70.32420	136.12659	485-28-7348	separated	8.50223	Y	6.26005	5.51662	Gregory Williams
152	4.24733	1.00000	84.34179	44.32360	4.11394	4.80641	5.50638	8.93998	59.29750	43.03806	898-13-6363	single	4.57428	no	5.82119	4.99539	April Erickson
153	6.03223	1.00000	51.42337	40.87283	3.06287	6.65616	7.40392	7.77343	86.57084	130.81821	657-83-9898	divoced	5.55777	no	4.92362	6.87217	Donald Barajas
154	5.35526	1.00000	34.60628	71.75946	4.29799	6.23211	3.39276	8.07957	76.78649	84.09235	023-43-7582	married	4.28467	yes	4.30101	5.17075	Dr. Charles Alvarado
155	4.91933	1.00000	15.19763	61.27450	7.12447	5.94035	5.55250	6.08790	71.16576	116.71103	556-26-8981	separated	4.24033	Y	9.60973	5.16458	Terry Roach
156	5.37860	0.00000	48.63696	24.77437	3.93047	7.05877	16.84863	5.07833	84.51974	123.40710	376-10-0117	married	3.97862	no	7.78761	7.88627	Jennifer Ward
157	6.34297	1.00000	15.40077	50.27795	8.29630	6.70276	7.06017	6.30547	79.61530	127.35467	034-05-2684	single	4.81400	no	9.51264	5.10669	Mary Rivera
