	blood_group	job	sex	name	company	race	ssn	birthdate	current_location
22	B-	Editor, commissioning	F	Eileen Davis	Mendoza and Sons	White	390-13-9125	1925-12-26	(Decimal('-67.905247'), Decimal('-36.833314'))
23	AB+	Lobbyist	F	Valerie Reynolds	Nicholson and Sons	Black	653-24-2895	10/29/1931, 00:00:00	(Decimal('5.630785'), Decimal('177.015210'))
24	AB-	Administrator, Civil Service	M	Troy Wallace	Moran Group	White	025-09-2596	13 Dec 2015	(Decimal('65.6569015'), Decimal('88.679659'))
25	AB+	Logistics and distribution manager	F	Brittney Bishop	Pugh-Townsend	White	803-62-4712	08/19/2004, 00:00:00	(Decimal('-31.273197'), Decimal('-162.966472'))
26	A+	Contracting civil engineer	F	Rebecca Martin	Moore Group	White	534-97-1879	02 Jan 1979	(Decimal('-86.535651'), Decimal('10.613756'))
27	AB-	Administrator, arts	F	Tonya Buchanan	Garcia Group	Black	617-40-5356	1963/12/11	(Decimal('-18.5080165'), Decimal('-52.545336'))
28	AB+	Make	F	Kelsey Hall	Mendez, Kent and Price	White	488-57-8528	02/12/1965, 00:00:00	(Decimal('83.8172955'), Decimal('-158.081152'))
29	AB+	Financial planner	M	Clarence Castillo	Williams PLC	Black	714-88-7125	1928-06-08	(Decimal('-82.8423055'), Decimal('-45.185210'))
30	O+	Programmer, applications	F	Alexandra Miller	Goodman, Merritt and Porter	Black	748-74-0478	17 Dec 2003	(Decimal('-5.6155645'), Decimal('-157.364410'))
31	O+	IT trainer	M	Justin Wells	Lozano, Gallegos and Garcia	White	195-49-5380	10/10/1950, 00:00:00	(Decimal('8.739408'), Decimal('-179.514462'))
32	B+	Firefighter	F	Erin Vasquez	Cook Inc	Asian	035-30-9903	31 Jan 1949	(Decimal('83.8049925'), Decimal('70.203081'))
33	A-	Health physicist	F	Nancy Allen	Thomas, Morales and Sweeney	Black	514-70-6980	28 Mar 2020	(Decimal('-74.6097355'), Decimal('47.373461'))
34	B+	Hydrologist	M	Allen Johnson	Munoz, Moreno and Le	Black	404-60-2231	09 Dec 1963	(Decimal('27.947118'), Decimal('-115.375748'))
35	B+	Osteopath	M	Shawn Kline	Payne-Love	White	588-15-1587	1969-08-03	(Decimal('-62.679344'), Decimal('-74.372602'))
36	AB-	Geochemist	F	Leah Brown	Hart, Lane and Schmidt	White	550-31-0994	22 Jun 1934	(Decimal('-35.2595015'), Decimal('115.902231'))
37	AB+	Mining engineer	M	Jack Thompson	Riley-Ho	Asian	242-22-2038	11/10/1925, 00:00:00	(Decimal('38.701136'), Decimal('-58.638790'))
38	A+	Company secretary	M	Timothy Steele	Warner Group	Indian	870-57-2604	1984/04/08	(Decimal('-26.6635055'), Decimal('-107.996272'))
39	O+	Producer, television/film/video	M	Bryan Hernandez MD	Carr-Williams	Asian	810-32-5890	2003/08/04	(Decimal('20.9146915'), Decimal('-81.651708'))
40	AB+	Press sub	M	Richard Barnes	Reeves, Cisneros and Lynch	White	198-41-0287	31 Dec 1964	(Decimal('43.882109'), Decimal('-115.878834'))
41	AB+	Dancer	F	Jessica Ramos	Avila, Ellis and Caldwell	White	140-60-6650	04/14/2019, 00:00:00	(Decimal('89.133442'), Decimal('-27.136843'))
42	O-	Intelligence analyst	F	Cassandra Martinez	Knight, Ramirez and Hunt	Asian	314-15-7857	12/10/1934, 00:00:00	(Decimal('-53.5179835'), Decimal('-41.420779'))
43	AB+	Primary school teacher	F	Mary Mcfarland	Santiago-Shah	Asian	717-93-6964	09 Jun 2003	(Decimal('-88.081866'), Decimal('-141.649444'))
44	O-	Academic librarian	F	Vanessa Galloway	Hunt, Hunt and Evans	White	348-32-8530	1916/11/20	(Decimal('-43.778538'), Decimal('9.842781'))
45	A+	Charity fundraiser	F	Abigail Hansen	Schroeder, Malone and Rice	White	427-67-2233	08/25/1974, 00:00:00	(Decimal('47.122371'), Decimal('90.998402'))
46	B+	Doctor, hospital	M	Ryan Ellis	Tran LLC	Hawaiian	029-02-9662	06/03/1978, 00:00:00	(Decimal('49.8562085'), Decimal('-87.202869'))
47	A+	Public affairs consultant	F	Leslie Schroeder	Whitaker LLC	Asian	816-81-2640	15 May 1912	(Decimal('84.8186975'), Decimal('46.762339'))
48	O+	Event organiser	M	Cody Parsons	Harris Inc	Black	739-33-0240	1923-12-16	(Decimal('16.884839'), Decimal('78.788802'))
49	B+	Insurance underwriter	M	James Miller	Berry-Cannon	White	527-34-0641	1949-11-25	(Decimal('18.296269'), Decimal('-56.982877'))
50	A-	Architectural technologist	M	Bradley Morris	Berry, Garcia and Reid	Asian	036-54-0586	25 May 1935	(Decimal('36.047722'), Decimal('-140.299252'))
51	AB-	Production assistant, television	F	Andrea Wallace	Cherry-Green	White	800-98-1149	02 Jun 1953	(Decimal('-77.691060'), Decimal('-145.455174'))
52	O-	Sports coach	M	Edward Hamilton	Smith-Crawford	Hawaiian	525-98-4401	20 Sep 2010	(Decimal('28.796952'), Decimal('-45.462796'))
53	B+	Public relations officer	F	Andrea Bush	Garcia PLC	White	307-28-8890	04/01/1996, 00:00:00	(Decimal('45.8657065'), Decimal('-126.891843'))
54	B-	Product/process development scientist	M	Victor Williams	Dunn PLC	Black	460-09-2010	2003-10-08	(Decimal('-53.412811'), Decimal('87.849343'))
55	O-	Medical laboratory scientific officer	F	Mary Lambert	Byrd-Barker	Black	513-54-5237	18 Aug 1927	(Decimal('87.204892'), Decimal('19.208931'))
56	B-	Editorial assistant	M	James Campos	Kent-Holland	Black	380-38-1155	20 Apr 1926	(Decimal('-42.511384'), Decimal('-162.811283'))
57	B-	Accountant, chartered public finance	F	Sandra Bullock	Chase and Sons	Black	637-26-1348	06/06/1907, 00:00:00	(Decimal('45.541988'), Decimal('-51.379936'))
58	A-	Teacher, early years/pre	M	Michael Gibson	Robinson, Hicks and Pierce	White	728-43-1872	1948/06/26	(Decimal('67.733713'), Decimal('159.640677'))
59	O+	Barrister's clerk	F	Kathleen Martin	Jennings-Weaver	black	306-98-6604	1940-02-26	(Decimal('59.142792'), Decimal('128.079574'))
60	O+	Garment/textile technologist	M	Joshua Davidson	Banks PLC	White	760-06-0335	2011-04-05	(Decimal('78.930093'), Decimal('157.184083'))
61	B+	Orthoptist	M	Michael Ramirez	Snyder, Orr and Vargas	White	243-68-7147	1972-09-24	(Decimal('85.995780'), Decimal('-62.564263'))
62	O-	Facilities manager	F	Alexis Mcintosh	Patrick Ltd	White	713-01-9861	11/27/1989, 00:00:00	(Decimal('27.568145'), Decimal('-109.913206'))
63	B-	Neurosurgeon	M	Peter Henderson	Underwood, Jensen and Luna	Asian	780-64-6273	1936/02/12	(Decimal('-81.719046'), Decimal('13.077542'))
64	B+	Medical technical officer	F	Michelle Brooks	Wilcox-Peters	White	403-21-8000	11/04/1916, 00:00:00	(Decimal('-71.215769'), Decimal('-179.904413'))
65	B-	Runner, broadcasting/film/video	M	Gregory Walters	Savage, Fuentes and Barr	Black	874-30-9687	1983/07/21	(Decimal('-42.9023345'), Decimal('82.255367'))
66	O+	Commissioning editor	M	Randy Castro	Rodriguez Group	Hawaiian	244-21-1464	05 Jun 1942	(Decimal('-30.3911265'), Decimal('-71.938133'))
67	O-	Public relations account executive	M	Joel Gill	Daniel, Hanson and Butler	Black	756-97-1751	1963-10-29	(Decimal('-28.170450'), Decimal('75.842512'))
68	A+	Nurse, adult	M	Kyle Huerta	Holmes, Doyle and Berry	White	526-29-0839	1909/10/23	(Decimal('-78.0309695'), Decimal('-93.987906'))
69	A-	Surveyor, quantity	F	Laura Dean	Miller, Rose and Washington	Black	767-45-5056	1959/10/12	(Decimal('-51.257092'), Decimal('-133.726926'))
70	B-	Operational researcher	M	Eugene Duffy	Rogers, Mccoy and Adams	White	301-49-9548	12/04/1906, 00:00:00	(Decimal('49.1080915'), Decimal('-122.895911'))
71	AB+	Adult nurse	F	April Mitchell	Cummings, Romero and Smith	Indian	049-94-0706	2013-12-23	(Decimal('75.360928'), Decimal('149.306604'))
72	O-	Translator	M	Steven Edwards	Watson, Rice and Orozco	White	088-45-7326	25 Apr 1940	(Decimal('-85.908949'), Decimal('-115.606995'))
73	O+	Scientist, product/process development	M	Antonio Knox	Jones-Hanson	Asian	054-09-2753	10 Jan 1939	(Decimal('-77.392228'), Decimal('-110.998789'))
74	O-	Housing manager/officer	F	Emily Davis	Bauer, Mcdonald and Wilson	Black	335-91-9709	07/10/1968, 00:00:00	(Decimal('-20.368963'), Decimal('-159.890950'))
75	B+	Production manager	F	Amy Guerrero	Todd-Dillon	White	332-91-8915	06/12/1934, 00:00:00	(Decimal('4.934289'), Decimal('102.583038'))
76	A-	Occupational therapist	M	Drew Macias	Tate, Conner and Potter	Asian	634-25-1480	22 Feb 1910	(Decimal('-33.732048'), Decimal('-49.630298'))
77	O+	Scientist, water quality	F	Mrs. Tiffany Galloway DDS	Hernandez, Cox and White	Black	181-56-3523	2018-01-07	(Decimal('-0.323650'), Decimal('-161.718253'))
78	AB+	Careers adviser	M	Mr. Jonathan Meyer	Griffin, Bennett and Gallagher	Asian	272-20-4594	07/25/1954, 00:00:00	(Decimal('-22.8435315'), Decimal('144.555885'))
79	A-	Accountant, chartered certified	M	Mr. Kyle Ruiz	Yang, Johnson and Lin	Indian	384-15-3655	1987-05-12	(Decimal('19.661293'), Decimal('141.079944'))
80	O+	Product/process development scientist	F	April Allen	Kennedy Group	White	228-42-7295	11 Feb 1997	(Decimal('41.6942305'), Decimal('169.564395'))
81	A-	Therapist, drama	M	Wyatt Johnson	Yates Ltd	Black	716-71-8230	01 Dec 2009	(Decimal('63.7848765'), Decimal('-8.567335'))
82	O-	Broadcast presenter	F	Sharon Dixon	Maxwell and Sons	White	195-84-2359	1925-04-10	(Decimal('-52.924724'), Decimal('-26.891968'))
83	B-	Consulting civil engineer	F	Angela Cain	Roach, Anderson and Suarez	White	186-75-7557	1975/12/12	(Decimal('9.4409115'), Decimal('58.904423'))
84	AB+	Scientist, product/process development	M	David Robinson	Huerta, Allen and Wheeler	Asian	564-12-0473	1923/07/11	(Decimal('-24.705956'), Decimal('-100.266090'))
85	A-	Research scientist (life sciences)	F	Tammy Salazar	Smith Inc	Black	861-86-4443	2004-11-14	(Decimal('-89.582632'), Decimal('44.318352'))
86	A-	Personnel officer	M	William Graham	Smith-Bullock	Indian	536-29-9109	12 Jan 1923	(Decimal('57.1360695'), Decimal('45.395509'))
87	AB-	Psychologist, sport and exercise	F	Andrea Thomas	Reese and Sons	white	210-64-4272	2015/10/29	(Decimal('-9.115788'), Decimal('-92.465218'))
88	AB-	Environmental manager	F	Crystal Blevins	Carter-Brandt	Asian	724-29-0024	1970/06/04	(Decimal('-87.538861'), Decimal('56.886505'))
89	O+	Ranger/warden	M	Christopher Villanueva	Hicks Inc	blsck	638-85-8926	07 Aug 1919	(Decimal('-9.695172'), Decimal('57.360355'))
90	B+	Insurance claims handler	M	Daniel Smith	Smith-Armstrong	Hawaiian	670-07-0092	1976/02/16	(Decimal('-74.0309915'), Decimal('76.059422'))
91	O+	Retail manager	F	Elizabeth Cruz	Green, Clark and Washington	White	792-20-1312	1939/12/15	(Decimal('-67.993064'), Decimal('83.596770'))
92	A-	Engineer, communications	F	Monica Baldwin	Mullins-Hanson	White	247-12-1126	1915-12-19	(Decimal('-69.6336875'), Decimal('-150.833044'))
93	A-	Software engineer	M	Roy Donovan	Miranda, Brooks and Ruiz	White	349-36-7076	07/16/1921, 00:00:00	(Decimal('-5.8147235'), Decimal('-88.342759'))
94	A+	Designer, graphic	F	Tina Gilmore	Nixon, Gould and Chan	Black	515-26-1401	05/28/1973, 00:00:00	(Decimal('-69.731941'), Decimal('27.163645'))
95	O+	Broadcast journalist	F	Michaela Patton	Mitchell LLC	Asian	781-48-3694	1982/06/07	(Decimal('-60.227837'), Decimal('38.048200'))
96	A-	Games developer	F	Linda Jones	Finley, Rodriguez and Nichols	blsck	723-14-7336	2012/03/19	(Decimal('-42.4362375'), Decimal('-174.233632'))
97	B-	Air broker	M	Daniel Gonzalez	Lucas-Morales	White	861-59-0624	1979-06-12	(Decimal('-27.3162935'), Decimal('-100.588159'))
98	B+	Acupuncturist	F	Rebekah Richards	Lee-Brown	Black	667-70-9309	24 Jan 2007	(Decimal('9.8523965'), Decimal('88.584620'))
99	A+	Horticulturist, commercial	M	Matthew Smith	Olsen LLC	White	192-27-5052	23 Jun 2016	(Decimal('-44.968285'), Decimal('48.796363'))
100	A-	Administrator, education	M	Michael Smith	Clark, Briggs and Morris	White	296-35-9082	1919/04/26	(Decimal('-17.746011'), Decimal('104.990599'))
101	AB+	Adult nurse	M	Mr. David Dunn	Smith-Vaughn	Black	863-04-7114	1939-06-17	(Decimal('-81.4397585'), Decimal('102.090955'))
102	A+	Bookseller	F	Cheryl Hunt	Douglas, Cook and Lopez	White	487-29-7430	1992/10/03	(Decimal('-8.224864'), Decimal('93.024673'))
103	O-	Building surveyor	F	Kimberly Campbell	Lloyd-Oconnor	Hawaiian	105-43-9129	13 Aug 1991	(Decimal('78.4232985'), Decimal('-90.756699'))
104	B+	Scientist, water quality	M	Jacob Booker	Pratt and Sons	Black	805-89-0150	1984-05-25	(Decimal('-66.432582'), Decimal('-115.526553'))
105	A+	Musician	M	Thomas Morris	Fisher LLC	Black	583-72-8571	2012-11-10	(Decimal('71.020031'), Decimal('11.177074'))
106	AB+	Travel agency manager	M	Evan Greene	Johnson, Davis and Ross	White	349-80-8941	17 Dec 1989	(Decimal('-29.073468'), Decimal('-90.372294'))
107	AB+	Insurance account manager	F	Katherine Gonzalez	Burgess-Barton	White	629-41-0180	09 Dec 1946	(Decimal('32.7259635'), Decimal('-15.067200'))
108	A+	Primary school teacher	M	William Becker	Maxwell-Tate	White	566-03-3367	1914/01/27	(Decimal('63.308049'), Decimal('-10.134928'))
109	A+	Psychologist, forensic	F	Madison Love	Baker, Shelton and Green	White	319-46-8676	08/08/1983, 00:00:00	(Decimal('-1.6529895'), Decimal('-28.114360'))
110	B-	Medical sales representative	M	Richard Smith	Jacobs, Alexander and Garcia	White	032-53-0949	1970/11/21	(Decimal('19.3947805'), Decimal('62.739186'))
111	B-	Contractor	M	Daniel Martinez	Cohen, Vega and Young	White	425-02-1185	10/09/1963, 00:00:00	(Decimal('-57.686171'), Decimal('132.302318'))
112	A-	Orthoptist	M	Todd Schaefer	Singleton Inc	White	251-20-6756	31 May 1960	(Decimal('71.2267905'), Decimal('-37.231592'))
113	O+	Engineer, maintenance	M	Jeffrey Brown	Solomon LLC	Black	640-60-7868	10/27/1983, 00:00:00	(Decimal('3.840333'), Decimal('135.288960'))
114	B+	Nurse, mental health	M	Wayne Woodard	Glover, Clark and Palmer	White	318-92-5225	1961/12/12	(Decimal('-7.284750'), Decimal('-160.795794'))
115	B-	Product designer	F	Cynthia Swanson	Jensen Ltd	Indian	059-32-2473	2011-05-24	(Decimal('5.155937'), Decimal('3.053357'))
116	A+	Water engineer	M	Michael Rivers	Henson-Perry	Hawaiian	577-89-5937	1943-10-13	(Decimal('56.8564775'), Decimal('6.140175'))
117	A-	Facilities manager	M	Darren Hebert	Gonzalez PLC	Black	825-21-0352	25 Sep 2010	(Decimal('-10.4640705'), Decimal('-91.995550'))
118	B-	Quantity surveyor	F	Kathryn Reese	Russell, Jones and Shaw	Black	852-78-9847	17 Jul 1907	(Decimal('35.137950'), Decimal('3.365368'))
119	A-	Town planner	F	Jacqueline Tucker	Owens LLC	Indian	591-67-8431	10/12/1994, 00:00:00	(Decimal('-80.6288705'), Decimal('-14.719373'))
120	AB+	Furniture designer	F	Lisa Fleming	Robinson-Martin	White	388-14-8914	1942/10/26	(Decimal('-63.0443255'), Decimal('29.523729'))
121	O-	Animator	M	Kelly Barnett	Edwards, Callahan and Cook	Hawaiian	646-45-6279	1967-01-09	(Decimal('-72.2756355'), Decimal('-136.331635'))
122	AB-	Communications engineer	F	Yvonne Gilbert	Sullivan, Myers and Davis	Asian	097-93-4213	1984/06/13	(Decimal('-30.897430'), Decimal('-112.486556'))
123	AB-	Nutritional therapist	F	Rebecca Dunn	Brooks Group	Black	405-73-2466	1996/07/15	(Decimal('-24.2005755'), Decimal('-62.908395'))
124	O+	Pharmacologist	F	Michelle Gallagher	Garza Inc	Black	432-89-5734	1916-11-18	(Decimal('-17.106180'), Decimal('155.251625'))
125	A-	Education administrator	F	Tanya Velazquez	Kidd, Martin and Simmons	Black	229-68-3697	2006/12/02	(Decimal('25.0243705'), Decimal('-52.403191'))
126	B-	Copywriter, advertising	F	Melissa Holt	Hughes LLC	White	799-25-5004	1928/07/08	(Decimal('78.6780335'), Decimal('45.761842'))
127	A+	Operations geologist	F	Stephanie Smith	Lewis, Saunders and Thompson	Indian	256-87-7805	1978-01-15	(Decimal('-5.764379'), Decimal('71.396641'))
128	A+	Writer	M	Joseph Murphy	Houston, Small and Fleming	Black	174-73-9038	11/05/2004, 00:00:00	(Decimal('40.698043'), Decimal('-88.997354'))
129	A-	Immunologist	M	Micheal Barrett	Burns-Hernandez	Asian	159-75-2817	06/02/1913, 00:00:00	(Decimal('-74.226275'), Decimal('-23.202171'))
130	A+	Forest/woodland manager	M	Travis Delacruz	Martin-Gates	White	266-13-2541	03 Aug 1945	(Decimal('-38.3609665'), Decimal('-147.262951'))
131	A-	Hydrologist	F	Kimberly Watts	Blackwell-Navarro	White	749-47-5304	1913/01/12	(Decimal('23.887378'), Decimal('38.651929'))
132	B-	Teacher, English as a foreign language	F	Ashley Smith	Hill, Dunn and Bryan	White	728-68-6420	1988/10/06	(Decimal('11.724161'), Decimal('26.689818'))
133	AB+	Counsellor	M	Anthony Morris	Wilson and Sons	White	063-84-1630	03/20/1994, 00:00:00	(Decimal('77.4602655'), Decimal('170.526372'))
134	AB-	Multimedia programmer	M	Patrick Greer	Potter-Gonzalez	Black	272-41-5009	1961/05/21	(Decimal('-17.760770'), Decimal('-145.221177'))
135	AB+	Naval architect	F	Christina Valencia	Perry-Evans	Black	010-27-8646	1927/04/27	(Decimal('-8.4026345'), Decimal('-22.111057'))
136	AB+	Equality and diversity officer	M	Gabriel Fischer	Massey-Martinez	Hawaiian	070-82-5583	1915/07/31	(Decimal('-7.582647'), Decimal('-147.561939'))
137	AB-	Engineer, technical sales	M	Jacob Thompson	Davis and Sons	white	247-34-2874	2015-11-10	(Decimal('78.876818'), Decimal('159.346533'))
138	AB-	Forest/woodland manager	F	Candice Harris	Miller-Hill	White	722-75-2623	05/30/1929, 00:00:00	(Decimal('39.568501'), Decimal('151.492510'))
139	A-	Mining engineer	M	Daniel Richardson	Garcia-Archer	White	688-45-1559	03/21/1922, 00:00:00	(Decimal('52.167805'), Decimal('110.381042'))
140	AB-	Lecturer, further education	M	Dylan Jones	Delacruz Inc	Black	085-31-3861	07/23/2011, 00:00:00	(Decimal('-83.076355'), Decimal('-14.376899'))
141	B+	Civil engineer, contracting	M	Danny Williams	Holland, Jordan and Bishop	White	124-16-4553	1982-12-15	(Decimal('50.052664'), Decimal('71.219050'))
142	O-	Science writer	M	Shawn Tucker	Sanders-Anderson	White	028-95-3862	07/04/1935, 00:00:00	(Decimal('-65.450237'), Decimal('144.197372'))
143	B-	Surveyor, minerals	F	Renee Carter	Payne, King and Potts	White	828-81-1763	1932/12/07	(Decimal('-84.921270'), Decimal('-4.710305'))
144	B-	Research scientist (physical sciences)	M	Donald Summers	Scott, Graham and Clayton	Black	289-32-3806	09/15/1967, 00:00:00	(Decimal('-87.8519885'), Decimal('-84.577490'))
145	AB+	Pathologist	F	Melissa Williams	Green, Andrews and Sanders	White	552-60-4975	15 Feb 2012	(Decimal('54.3421255'), Decimal('62.000831'))
146	B-	Chemist, analytical	M	Joshua Buckley	Murphy, Moore and Reeves	Black	030-37-4999	02/16/1924, 00:00:00	(Decimal('-34.4025895'), Decimal('96.262207'))
147	B-	Theatre stage manager	F	Wendy Chapman	Jones-Gross	White	178-59-6579	01 Mar 1994	(Decimal('45.8806225'), Decimal('131.229827'))
148	O-	Herpetologist	M	Eric Watson	Allen, Combs and Walter	White	100-30-2464	05/01/1940, 00:00:00	(Decimal('-88.426081'), Decimal('-123.031904'))
149	O-	Scientist, research (physical sciences)	F	Stephanie Leblanc	White-Decker	black	419-92-8277	1921/12/20	(Decimal('57.387821'), Decimal('-32.316479'))
150	AB-	Hydrologist	M	Jack Grant	Lee-Booker	Black	258-21-2049	07/16/1938, 00:00:00	(Decimal('54.347980'), Decimal('174.454473'))
151	O-	Ambulance person	M	Michael Martinez	Garcia, Henson and Lee	Black	552-40-7444	16 Dec 2010	(Decimal('-77.7987235'), Decimal('-105.476208'))
152	B+	Scientist, research (medical)	M	Ronald Gomez	Gordon Group	Black	855-39-1232	1947/08/07	(Decimal('-68.9462855'), Decimal('-133.207497'))
153	A+	Toxicologist	M	Henry Mooney	Grant, James and Mcgee	Black	658-50-1918	1922/08/02	(Decimal('-41.8472295'), Decimal('-32.925167'))
154	B+	Waste management officer	F	Melissa Dean	Burgess-Chan	Black	559-96-4742	07/10/1940, 00:00:00	(Decimal('-10.240447'), Decimal('-83.681517'))
155	AB-	Archaeologist	M	Cody Anderson	Molina-Paul	White	525-64-9284	1970-04-01	(Decimal('79.498192'), Decimal('159.069092'))
156	A+	Research officer, government	M	Jonathan Wilkinson	Steele, Trujillo and Sanders	White	244-18-1672	22 May 2017	(Decimal('25.4779215'), Decimal('-62.895997'))
157	B+	Accounting technician	F	Diane Jones	Vasquez and Sons	White	081-17-7019	18 May 1988	(Decimal('-47.2126805'), Decimal('127.603516'))
158	B-	Passenger transport manager	F	Amy Ramsey	Humphrey-Perry	Hawaiian	669-69-1976	11/03/1940, 00:00:00	(Decimal('5.372713'), Decimal('4.316056'))
159	AB+	Soil scientist	M	Ryan Warner	Palmer, King and Armstrong	White	583-20-5365	09/25/1905, 00:00:00	(Decimal('-52.781506'), Decimal('87.980365'))
160	O-	Commercial/residential surveyor	M	Anthony Watson	Williams, Watts and Parks	White	655-26-9717	06 May 1949	(Decimal('80.0946725'), Decimal('-11.681988'))
161	B+	Agricultural consultant	M	Russell Taylor	Keith-Pena	White	889-63-8487	12/19/2004, 00:00:00	(Decimal('83.473919'), Decimal('38.778982'))
162	B+	Lighting technician, broadcasting/film/video	M	Steve White	Flores-Riley	Black	426-29-4356	07/07/1946, 00:00:00	(Decimal('-27.9612095'), Decimal('-31.526844'))
163	AB+	Transport planner	M	John Foley Jr.	Osborne PLC	White	535-47-4137	18 Jan 2014	(Decimal('35.5546725'), Decimal('-22.946211'))
164	B-	Art therapist	M	Jeff Grimes	Clayton and Sons	black	672-65-5535	18 Dec 1990	(Decimal('16.648886'), Decimal('-85.613063'))
165	A-	Software engineer	M	Chad Carter	Shaw-Graham	White	414-69-1848	1924-10-14	(Decimal('-85.5832615'), Decimal('120.339163'))
166	A+	Materials engineer	F	Jessica Gomez	Rodriguez, Gray and Shelton	Black	414-89-4112	1966-12-30	(Decimal('-2.644343'), Decimal('32.509595'))
167	O-	Newspaper journalist	F	Haley Brown	Walker Ltd	Black	354-68-1829	11/26/1977, 00:00:00	(Decimal('-25.1749085'), Decimal('87.659024'))
168	B+	Jewellery designer	M	Marcus Dillon	Ford, Reynolds and Chapman	White	004-69-1784	03 Dec 1976	(Decimal('-24.920841'), Decimal('172.853838'))
169	A-	Press photographer	F	Carolyn Andrews	Lopez-Reese	white	514-52-5930	2018/08/06	(Decimal('3.740163'), Decimal('-154.714428'))
170	B+	Seismic interpreter	F	Ashley Hernandez	Evans-Moore	White	639-44-1561	25 Jan 1934	(Decimal('78.9708325'), Decimal('17.797293'))
171	AB-	Social worker	F	Annette Gray	Austin and Sons	White	609-64-8848	11/14/1973, 00:00:00	(Decimal('-55.442760'), Decimal('-5.575861'))
172	AB-	Product manager	F	Misty Williams	Moran LLC	Black	421-06-9806	12 Apr 1972	(Decimal('71.3783935'), Decimal('1.738403'))
173	O+	Statistician	M	Justin Peters	Crawford PLC	White	399-49-4615	1907/10/25	(Decimal('77.1045145'), Decimal('-89.640534'))
174	B+	Further education lecturer	F	Allison Farmer	Rose-Smith	White	005-38-6753	2017/04/04	(Decimal('14.8080275'), Decimal('59.298746'))
175	AB-	Geneticist, molecular	F	Laura Stevens	Hernandez, Thompson and Daniels	White	540-76-5749	07 Jun 2021	(Decimal('48.1199325'), Decimal('-130.643493'))
